260708-14:04:18.601373 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
260708-14:04:18.610701 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-14:04:18.616766 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-14:04:18.617302 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260708-14:04:18.619670 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260708-14:04:18.625948 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260708-14:04:18.626196 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:XHC3_8.4p1s1_PROD_sdy
260708-14:04:18.628574 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260708-14:11:18.639378 [mod=RTMESSAGE, lvl=INFO] [tid=2223] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260708-14:11:18.699301 [mod=RTMESSAGE, lvl=INFO] [tid=2223] Stopping threads
260708-14:14:40.912275 [mod=RTMESSAGE, lvl=INFO] [tid=2223] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260708-14:14:40.984050 [mod=RTMESSAGE, lvl=INFO] [tid=2223] Stopping threads
260708-14:19:18.626291 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260708-14:19:18.626609 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260708-14:19:18.626704 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
260708-14:19:18.630844 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-14:19:18.633596 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-14:19:18.634127 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260708-14:19:18.637109 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260708-14:19:18.646294 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260708-14:19:18.646549 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:XHC3_8.4p1s1_PROD_sdy
260708-14:19:18.656801 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260708-14:34:18.611752 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260708-14:34:18.612072 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260708-14:34:18.612166 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
260708-14:34:18.616753 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-14:34:18.619581 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-14:34:18.620107 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260708-14:34:18.623265 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260708-14:34:18.626017 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260708-14:34:18.626261 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:XHC3_8.4p1s1_PROD_sdy
260708-14:34:18.628628 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260708-14:49:18.638880 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260708-14:49:18.639423 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260708-14:49:18.639560 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
260708-14:49:18.646224 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-14:49:18.649770 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-14:49:18.650295 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260708-14:49:18.660496 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260708-14:49:18.663209 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260708-14:49:18.663450 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:XHC3_8.4p1s1_PROD_sdy
