260706-15:52:22.845225 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-15:52:22.850971 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-15:52:22.853663 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-15:52:22.853910 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-15:52:22.857468 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-16:07:22.817209 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-16:07:22.817727 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-16:07:22.817832 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-16:07:22.837808 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-16:07:22.842391 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-16:07:22.842922 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-16:07:22.848548 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-16:07:22.851590 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-16:07:22.851838 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-16:07:22.854388 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-16:18:54.219462 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-16:18:54.293646 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-16:21:21.635198 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-16:21:21.686993 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-16:22:22.814765 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-16:22:22.815477 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
