260107-10:55:49.556014 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:55:54.556609 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:55:59.557272 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:04.559702 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:09.560166 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:14.560810 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:19.561490 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:24.562183 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:29.562920 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:34.563459 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:39.564002 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:44.564547 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:49.565223 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:54.565810 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:56:59.566421 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:04.566993 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:09.567595 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:14.568210 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:19.568908 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:24.569522 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:29.570867 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:34.572132 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:39.572637 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:44.573234 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:49.573814 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:54.574386 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:57:59.575261 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:04.576022 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:09.576906 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:14.577820 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:19.578654 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:24.579388 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:29.580502 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:34.581009 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:39.581673 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:44.582358 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:49.582866 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:54.583500 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:58:59.584147 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:04.585372 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:09.585938 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:14.586497 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:19.587177 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:24.587890 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:29.588658 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:34.589338 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:39.589870 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:44.590536 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:49.591478 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:54.592149 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-10:59:59.592742 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:04.593438 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:09.594070 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:14.594785 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:19.595373 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:24.595993 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:29.596784 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:34.597496 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:39.598286 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:44.599212 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:49.599805 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:54.600521 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:00:59.601393 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:04.602086 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:09.602777 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:14.603386 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:19.603936 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:24.604512 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:29.605096 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:34.605681 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:39.606479 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:44.607233 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:49.607848 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:54.608453 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:01:59.609072 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:04.609688 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:09.610378 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:14.610984 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:19.612245 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:24.613012 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:29.613903 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:34.614777 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:39.615477 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:44.616521 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:49.617242 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:54.618047 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:02:59.619948 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:04.620745 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:09.621556 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:14.622294 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:19.622791 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:24.623348 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:29.624136 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:34.625007 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:39.625605 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:44.627271 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:49.627900 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:54.628538 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:03:59.628944 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:04.629493 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:09.630195 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:14.631521 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:19.632028 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:24.632888 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:29.633419 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:34.633929 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:39.634799 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:44.635453 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:49.636539 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:54.636958 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:04:59.638283 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:04.639004 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:09.639391 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:14.639848 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:19.640317 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:24.640887 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:29.641958 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:34.642672 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:39.643482 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:44.644237 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:49.644994 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:54.646399 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:05:59.647038 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:04.647948 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:09.648541 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:14.649104 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:19.649711 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:24.650172 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:29.650611 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:34.651496 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:39.652181 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:44.652852 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:49.653514 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:54.654152 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:06:59.654814 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:04.655411 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:09.656003 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:14.656594 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:19.657209 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:24.657906 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:29.658491 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:34.659512 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:39.660331 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:44.661144 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:49.661897 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:54.662612 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:07:59.663926 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:04.664506 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:09.665078 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:14.665855 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:19.666629 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:24.667208 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:29.667770 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:34.668355 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:39.668930 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:44.669738 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:49.670491 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:54.671148 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:08:59.671735 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:04.672503 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:09.673176 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:14.673774 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:19.674357 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:24.674977 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:29.675610 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:34.676375 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:39.677073 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:44.677751 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:49.678329 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:54.678887 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:09:59.679589 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:04.680228 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:09.680900 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:14.682254 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:19.682823 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:24.683394 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:29.684145 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:34.684943 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:39.685641 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:44.686286 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:49.686962 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:54.687555 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:10:59.688170 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:04.688758 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:09.689371 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:14.689961 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:19.690646 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:24.691319 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:29.692004 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:34.692836 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:39.693806 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
260107-11:11:44.694593 [mod=PRVNMGR, lvl=INFO] [tid=1153] PRVMGR_BT_PAIRING state
