260706-15:19:30.336501 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration
260706-15:37:22.786989 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-15:37:22.787533 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-15:37:22.787678 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-15:37:22.796914 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-15:37:22.823770 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-15:37:22.824311 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-15:37:22.833088 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-15:37:22.841664 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-15:37:22.841908 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-15:37:22.850238 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-15:43:18.408089 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-15:43:18.467271 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-15:46:14.777868 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-15:46:14.813948 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-15:48:26.953736 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-15:48:27.079951 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-15:50:27.670079 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-15:50:27.726412 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-15:52:22.817873 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-15:52:22.818880 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-15:52:22.819057 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-15:52:22.840732 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-15:52:22.844696 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-15:52:22.845225 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-15:52:22.850971 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-15:52:22.853663 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-15:52:22.853910 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-15:52:22.857468 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-16:07:22.817209 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-16:07:22.817727 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-16:07:22.817832 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-16:07:22.837808 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-16:07:22.842391 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-16:07:22.842922 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-16:07:22.848548 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-16:07:22.851590 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-16:07:22.851838 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-16:07:22.854388 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-16:18:54.219462 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-16:18:54.293646 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-16:21:21.635198 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-16:21:21.686993 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-16:22:22.814765 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-16:22:22.815477 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-16:22:22.815650 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-16:22:22.824844 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-16:22:22.841578 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-16:22:22.842113 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-16:22:22.855695 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-16:22:22.860950 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-16:22:22.861205 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-16:22:22.870214 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-16:37:22.840004 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-16:37:22.840753 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-16:37:22.840934 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-16:37:22.859564 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-16:37:22.878645 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-16:37:22.879174 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-16:37:22.882197 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-16:37:22.887555 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-16:37:22.887804 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-16:37:22.898744 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-16:52:22.831733 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-16:52:22.832427 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-16:52:22.832605 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-16:52:22.840365 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-16:52:22.853105 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-16:52:22.853644 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-16:52:22.856520 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-16:52:22.859963 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-16:52:22.860207 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-16:52:22.862566 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-17:07:22.829875 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-17:07:22.830202 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-17:07:22.830298 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-17:07:22.835454 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-17:07:22.838271 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-17:07:22.838793 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-17:07:22.848742 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-17:07:22.852796 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-17:07:22.853039 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-17:07:22.855454 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-17:10:11.677881 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-17:10:11.787163 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-17:16:17.709949 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-17:16:17.835675 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-17:22:22.863488 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-17:22:22.864184 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-17:22:22.864303 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-17:22:22.872756 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-17:22:22.883481 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-17:22:22.884018 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-17:22:22.888532 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-17:22:22.892668 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-17:22:22.892913 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-17:22:22.895259 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-17:37:22.855538 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-17:37:22.855853 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-17:37:22.855943 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-17:37:22.869624 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-17:37:22.875546 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-17:37:22.876087 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-17:37:22.880964 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-17:37:22.886199 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-17:37:22.886445 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-17:37:22.889840 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-17:52:22.877649 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-17:52:22.877962 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-17:52:22.878051 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-17:52:22.882071 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-17:52:22.884833 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-17:52:22.885363 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-17:52:22.887879 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-17:52:22.898667 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-17:52:22.898915 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-17:52:22.901805 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-18:07:22.888084 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-18:07:22.888398 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-18:07:22.888493 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-18:07:22.893116 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-18:07:22.896216 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-18:07:22.910818 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-18:07:22.914104 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-18:07:22.917736 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-18:07:22.917982 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-18:07:22.920463 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-18:22:22.870551 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-18:22:22.870859 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-18:22:22.870956 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-18:22:22.876120 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-18:22:22.886922 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-18:22:22.887463 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-18:22:22.898840 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-18:22:22.905919 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-18:22:22.906169 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-18:22:22.912776 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-18:37:22.832687 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-18:37:22.832913 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-18:37:22.832989 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-18:37:22.836071 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-18:37:22.839216 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-18:37:22.839746 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-18:37:22.842101 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-18:37:22.856826 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-18:37:22.857078 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-18:37:22.864575 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

